NumberRecords,NumberAttributes,Size
1,1,520
1,2,524
1,4,532
1,8,548
1,16,580
1,32,644
1,64,772
1,128,1036
1,256,1564
1,512,2620
2,1,1041
2,2,1049
2,4,1065
2,8,1097
2,16,1161
2,32,1289
2,64,1545
2,128,2073
2,256,3129
2,512,5241
4,1,2083
4,2,2099
4,4,2131
4,8,2195
4,16,2323
4,32,2579
4,64,3091
4,128,4147
4,256,6259
4,512,10483
8,1,4167
8,2,4199
8,4,4263
8,8,4391
8,16,4647
8,32,5159
8,64,6183
8,128,8295
8,256,12519
8,512,20968
16,1,8335
16,2,8399
16,4,8527
16,8,8783
16,16,9295
16,32,10319
16,64,12367
16,128,16592
16,256,25040
16,512,41938
32,1,16672
32,2,16800
32,4,17056
32,8,17568
32,16,18592
32,32,20640
32,64,24736
32,128,33186
32,256,50082
32,512,83878
64,1,33346
64,2,33602
64,4,34114
64,8,35138
64,16,37186
64,32,41282
64,64,49474
64,128,66374
64,256,100166
64,512,167758
128,1,66694
128,2,67206
128,4,68230
128,8,70278
128,16,74374
128,32,82566
128,64,98950
128,128,132750
128,256,200334
128,512,335518
256,1,133391
256,2,134415
256,4,136463
256,8,140559
256,16,148751
256,32,165135
256,64,197903
256,128,265503
256,256,400671
256,512,671039
512,1,266783
512,2,268831
512,4,272927
512,8,281119
512,16,297503
512,32,330271
512,64,395807
512,128,531007
512,256,801343
512,512,1342079
1024,1,533567
1024,2,537663
1024,4,545855
1024,8,562239
1024,16,595007
1024,32,660543
1024,64,791615
1024,128,1062015
1024,256,1602687
1024,512,2684160
2048,1,1067135
2048,2,1075327
2048,4,1091711
2048,8,1124479
2048,16,1190015
2048,32,1321087
2048,64,1583231
2048,128,2124032
2048,256,3205376
2048,512,5368322
4096,1,2134272
4096,2,2150656
4096,4,2183424
4096,8,2248960
4096,16,2380032
4096,32,2642176
4096,64,3166464
4096,128,4248066
4096,256,6410754
4096,512,10736646
8192,1,4268546
8192,2,4301314
8192,4,4366850
8192,8,4497922
8192,16,4760066
8192,32,5284354
8192,64,6332930
8192,128,8496134
8192,256,12821510
8192,512,21473294
16384,1,8537094
16384,2,8602630
16384,4,8733702
16384,8,8995846
16384,16,9520134
16384,32,10568710
16384,64,12665862
16384,128,16992270
16384,256,25643022
16384,512,42946590
32768,1,17074191
32768,2,17205263
32768,4,17467407
32768,8,17991695
32768,16,19040271
32768,32,21137423
32768,64,25331727
32768,128,33984543
32768,256,51286047
32768,512,85893183
