NumberRecords,NumberAttributes,Size
1,1,25
1,2,28
1,4,59
1,8,85
1,16,111
1,32,247
1,64,396
1,128,857
2,1,86
2,2,98
2,4,125
2,8,169
2,16,259
2,32,547
2,64,926
2,128,1776
4,1,178
4,2,242
4,4,192
4,8,280
4,16,408
4,32,766
4,64,1842
4,128,2740
8,1,310
8,2,341
8,4,446
8,8,454
8,16,653
8,32,1614
8,64,2338
8,128,5241
16,1,393
16,2,473
16,4,591
16,8,505
16,16,931
16,32,2043
16,64,2363
16,128,4468
32,1,486
32,2,468
32,4,452
32,8,1115
32,16,1389
32,32,2658
32,64,4299
32,128,9128
64,1,569
64,2,738
64,4,819
64,8,1218
64,16,1812
64,32,1973
64,64,3927
64,128,6086
128,1,770
128,2,544
128,4,951
128,8,1375
128,16,2258
128,32,3573
128,64,6687
128,128,11904
256,1,842
256,2,960
256,4,1223
256,8,1617
256,16,2409
256,32,4109
256,64,7121
256,128,13932
512,1,986
512,2,1113
512,4,1202
512,8,1847
512,16,2729
512,32,4706
512,64,8413
512,128,16740
1024,1,1051
1024,2,1177
1024,4,1488
1024,8,1961
1024,16,3015
1024,32,4847
1024,64,9066
1024,128,18445
2048,1,1220
2048,2,1378
2048,4,1630
2048,8,1751
2048,16,3127
2048,32,5862
2048,64,10389
2048,128,17144
4096,1,1291
4096,2,1425
4096,4,1680
4096,8,2182
4096,16,3294
4096,32,6292
4096,64,11389
4096,128,21788
8192,1,1439
8192,2,1669
8192,4,1832
8192,8,2699
8192,16,4108
8192,32,7227
8192,64,12451
8192,128,24425
16384,1,1433
16384,2,1487
16384,4,2127
16384,8,2812
16384,16,4423
16384,32,7937
16384,64,13306
16384,128,26313
32768,1,1685
32768,2,1868
32768,4,2295
32768,8,3132
32768,16,4848
32768,32,7235
32768,64,14278
32768,128,27322
65536,1,1774
65536,2,2006
65536,4,2413
65536,8,3295
65536,16,5127
65536,32,8608
65536,64,15984
65536,128,30035
