Query,p,NumberOfRecordsMatching,ProofSize,SizeOfRecordsMatching,NumberOfRecordsAll,SizeOfRecordsAll,SizeOfProofAll
"<Categorical Attributes:{}>",0.8,100000,57206922,7800529,100000,7800529,5.6206326E7
"<Categorical Attributes:{0}>",0.8,80218,55884781,6257533,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1}>",0.8,64205,53047362,5008519,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1, 2}>",0.8,51301,49277684,4002007,100000,7800529,5.6206326E7
"<Categorical Attributes:{}>",0.5,100000,57206922,7800529,100000,7800529,5.6206326E7
"<Categorical Attributes:{0}>",0.5,50051,48878448,3904507,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1}>",0.5,24959,35544229,1947331,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1, 2}>",0.5,12560,23901409,980209,100000,7800529,5.6206326E7
"<Categorical Attributes:{}>",0.2,100000,57206922,7800529,100000,7800529,5.6206326E7
"<Categorical Attributes:{0}>",0.2,20170,31629207,1573789,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1}>",0.2,4042,11013144,315805,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1, 2}>",0.2,793,3183938,62383,100000,7800529,5.6206326E7
"<Categorical Attributes:{}>",0.1,100000,57206922,7800529,100000,7800529,5.6206326E7
"<Categorical Attributes:{0}>",0.1,10054,20664361,784741,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1}>",0.1,1023,3888135,80323,100000,7800529,5.6206326E7
"<Categorical Attributes:{0, 1, 2}>",0.1,111,624929,9187,100000,7800529,5.6206326E7
