NumberRecords,NumberAttributes,Size
1,1,19
1,2,22
1,4,44
1,8,70
1,16,132
1,32,230
1,64,397
1,128,804
1,256,1616
1,512,3375
2,1,48
2,2,61
2,4,97
2,8,149
2,16,292
2,32,469
2,64,776
2,128,1716
2,256,3565
2,512,6894
4,1,113
4,2,132
4,4,194
4,8,280
4,16,547
4,32,884
4,64,1858
4,128,3333
4,256,6869
4,512,13869
8,1,210
8,2,219
8,4,379
8,8,551
8,16,1013
8,32,1849
8,64,3509
8,128,6828
8,256,13549
8,512,27954
16,1,384
16,2,484
16,4,684
16,8,1003
16,16,1897
16,32,3490
16,64,7099
16,128,13242
16,256,27503
16,512,54882
32,1,755
32,2,948
32,4,1478
32,8,2203
32,16,4047
32,32,7252
32,64,13909
32,128,27843
32,256,54286
32,512,108207
64,1,1583
64,2,2000
64,4,2745
64,8,4516
64,16,7878
64,32,14827
64,64,28351
64,128,55461
64,256,109976
64,512,217520
128,1,3084
128,2,3862
128,4,5309
128,8,8789
128,16,15640
128,32,29494
128,64,56135
128,128,110256
128,256,219493
128,512,434654
256,1,6154
256,2,7889
256,4,11264
256,8,17954
256,16,31303
256,32,58466
256,64,112620
256,128,220845
256,256,437788
256,512,868499
512,1,12280
512,2,15672
512,4,22324
512,8,35657
512,16,62599
512,32,116623
512,64,223215
512,128,442058
512,256,874705
512,512,1739356
1024,1,24459
1024,2,31096
1024,4,44615
1024,8,71864
1024,16,126401
1024,32,234356
1024,64,450946
1024,128,887390
1024,256,1753932
1024,512,3480498
2048,1,48855
2048,2,63292
2048,4,89754
2048,8,143279
2048,16,251892
2048,32,470173
2048,64,899506
2048,128,1770700
2048,256,3501652
2048,512,6962786
4096,1,98232
4096,2,125397
4096,4,180246
4096,8,286231
4096,16,504857
4096,32,938304
4096,64,1805892
4096,128,3542293
