NumberNumerical,NumberCategorical,Size
1,1,554
1,2,554
1,4,554
1,8,554
1,16,554
1,32,554
1,64,554
1,128,562
1,256,578
1,512,610
1,1024,674
1,2048,802
1,4096,1058
1,8192,1570
2,1,558
2,2,558
2,4,558
2,8,558
2,16,558
2,32,558
2,64,558
2,128,566
2,256,582
2,512,614
2,1024,678
2,2048,806
2,4096,1062
2,8192,1574
4,1,566
4,2,566
4,4,566
4,8,566
4,16,566
4,32,566
4,64,566
4,128,574
4,256,590
4,512,622
4,1024,686
4,2048,814
4,4096,1070
4,8192,1582
8,1,582
8,2,582
8,4,582
8,8,582
8,16,582
8,32,582
8,64,582
8,128,590
8,256,606
8,512,638
8,1024,702
8,2048,830
8,4096,1086
8,8192,1598
16,1,614
16,2,614
16,4,614
16,8,614
16,16,614
16,32,614
16,64,614
16,128,622
16,256,638
16,512,670
16,1024,734
16,2048,862
16,4096,1118
16,8192,1630
32,1,678
32,2,678
32,4,678
32,8,678
32,16,678
32,32,678
32,64,678
32,128,686
32,256,702
32,512,734
32,1024,798
32,2048,926
32,4096,1182
32,8192,1694
64,1,806
64,2,806
64,4,806
64,8,806
64,16,806
64,32,806
64,64,806
64,128,814
64,256,830
64,512,862
64,1024,926
64,2048,1054
64,4096,1310
64,8192,1822
128,1,1070
128,2,1070
128,4,1070
128,8,1070
128,16,1070
128,32,1070
128,64,1070
128,128,1070
128,256,1086
128,512,1118
128,1024,1182
128,2048,1310
128,4096,1566
128,8192,2078
256,1,1598
256,2,1598
256,4,1598
256,8,1598
256,16,1598
256,32,1598
256,64,1598
256,128,1598
256,256,1598
256,512,1630
256,1024,1694
256,2048,1822
256,4096,2078
256,8192,2590
512,1,2654
512,2,2654
512,4,2654
512,8,2654
512,16,2654
512,32,2654
512,64,2654
512,128,2654
512,256,2654
512,512,2654
512,1024,2718
512,2048,2846
512,4096,3102
512,8192,3614
1024,1,4766
1024,2,4766
1024,4,4766
1024,8,4766
1024,16,4766
1024,32,4766
1024,64,4766
1024,128,4766
1024,256,4766
1024,512,4766
1024,1024,4766
1024,2048,4894
1024,4096,5150
1024,8192,5662
2048,1,8990
2048,2,8990
2048,4,8990
2048,8,8990
2048,16,8990
2048,32,8990
2048,64,8990
2048,128,8990
2048,256,8990
2048,512,8990
2048,1024,8990
2048,2048,8990
2048,4096,9246
2048,8192,9758
4096,1,17438
4096,2,17438
4096,4,17438
4096,8,17438
4096,16,17438
4096,32,17438
4096,64,17438
4096,128,17438
4096,256,17438
4096,512,17438
4096,1024,17438
4096,2048,17438
4096,4096,17438
4096,8192,17950
8192,1,34334
8192,2,34334
8192,4,34334
8192,8,34334
8192,16,34334
8192,32,34334
8192,64,34334
8192,128,34334
8192,256,34334
8192,512,34334
8192,1024,34334
8192,2048,34334
8192,4096,34334
8192,8192,34334
