NumberNumerical,NumberCategorical,RecordSize,RecordAggregationSize
1,1,28,53
1,2,28,53
1,4,20,45
1,8,28,53
1,16,28,53
1,32,28,53
1,64,29,54
1,128,21,46
1,256,29,54
1,512,21,46
2,1,40,65
2,2,31,56
2,4,22,47
2,8,31,56
2,16,31,56
2,32,40,65
2,64,40,65
2,128,31,56
2,256,23,48
2,512,32,57
4,1,35,60
4,2,34,59
4,4,35,60
4,8,44,69
4,16,43,68
4,32,62,87
4,64,44,69
4,128,36,61
4,256,45,70
4,512,27,52
8,1,88,113
8,2,70,95
8,4,70,95
8,8,70,95
8,16,61,86
8,32,88,113
8,64,88,113
8,128,98,123
8,256,80,105
8,512,53,78
16,1,123,148
16,2,132,157
16,4,123,148
16,8,105,130
16,16,69,94
16,32,132,157
16,64,141,166
16,128,161,186
16,256,106,131
16,512,106,131
32,1,248,273
32,2,230,255
32,4,239,264
32,8,221,246
32,16,194,219
32,32,221,246
32,64,239,264
32,128,285,310
32,256,231,256
32,512,267,292
64,1,361,386
64,2,487,512
64,4,505,530
64,8,424,449
64,16,415,440
64,32,442,467
64,64,397,422
64,128,407,432
64,256,425,450
64,512,452,477
128,1,848,873
128,2,983,1008
128,4,812,837
128,8,803,828
128,16,929,954
128,32,803,828
128,64,920,945
128,128,822,847
128,256,867,892
128,512,867,892
256,1,1777,1802
256,2,1642,1667
256,4,1813,1838
256,8,1660,1685
256,16,1723,1748
256,32,1759,1784
256,64,1777,1802
256,128,1805,1830
256,256,1598,1623
256,512,1661,1686
512,1,3410,3435
512,2,3536,3561
512,4,3491,3516
512,8,3437,3462
512,16,3374,3399
512,32,3356,3381
512,64,3383,3408
512,128,3393,3418
512,256,3303,3328
512,512,3384,3409
